Lat1,Long1,Lat2,Long2,Pop_left,Pop_right,Percent_left,Percent_right
44.2,-70.1,37.9,-89.1,123701747.0,125406436.0,0.496578416293936,0.5034215837060639
40.8,-74.0,32.8,-116.8,125154953.0,123953230.0,0.5024120504303144,0.49758794956968555
41.5,-82.9,40.7,-83.6,124040445.0,125067738.0,0.49793805850207656,0.5020619414979234
40.7,-73.7,39.3,-96.5,123503650.0,125604533.0,0.49578319151402583,0.5042168084859742
41.3,-73.0,38.6,-94.4,125568139.0,123540044.0,0.5040707113182228,0.49592928868177727
32.9,-80.7,38.7,-87.8,124216257.0,124891926.0,0.498643824157314,0.501356175842686
25.7,-80.4,41.8,-88.1,124855388.0,124252795.0,0.5012095006128321,0.49879049938716785
42.3,-85.6,33.7,-84.7,125228379.0,123879804.0,0.5027068059020767,0.49729319409792333
40.0,-83.8,39.3,-84.5,124200697.0,124907486.0,0.49858136133568925,0.5014186386643108
26.0,-80.2,42.3,-89.0,124078338.0,125029845.0,0.4980901731357416,0.5019098268642584
45.0,-123.0,38.4,-87.2,125685480.0,123422703.0,0.5045417556596284,0.4954582443403716
42.8,-71.1,36.7,-94.4,124519947.0,124588236.0,0.49986293304543916,0.5001370669545608
37.4,-122.0,38.6,-76.8,123920425.0,125187758.0,0.49745625979697344,0.5025437402030266
40.5,-87.9,28.6,-81.4,124345797.0,124762386.0,0.4991638391903007,0.5008361608096993
39.0,-88.1,33.5,-82.1,124644416.0,124463767.0,0.5003625914609156,0.4996374085390844
39.2,-84.6,39.7,-84.0,125755723.0,123352460.0,0.5048237335503346,0.4951762664496654
38.6,-88.9,35.1,-81.4,123343831.0,125764352.0,0.4951416268810407,0.5048583731189593
38.6,-95.3,40.9,-74.2,123697096.0,125411087.0,0.49655974569089123,0.5034402543091088
40.0,-83.8,39.2,-84.6,124169152.0,124939031.0,0.4984547296063735,0.5015452703936265
36.5,-78.4,38.2,-85.8,123350871.0,125757312.0,0.49516988769493775,0.5048301123050623
40.9,-74.2,38.8,-94.9,124232885.0,124875298.0,0.4987105742728652,0.5012894257271348
35.4,-81.1,45.3,-119.5,125250261.0,123857922.0,0.5027946472557266,0.49720535274427335
41.1,-81.4,38.0,-87.6,123366060.0,125742123.0,0.4952308612037847,0.5047691387962153
46.9,-102.8,35.2,-83.5,124153883.0,124954300.0,0.49839343495191407,0.501606565048086
33.8,-118.4,40.4,-86.9,125185897.0,123922286.0,0.5025362695532166,0.49746373044678344
40.4,-83.3,42.1,-72.0,124685444.0,124422739.0,0.5005272909882691,0.49947270901173085
35.8,-81.5,44.6,-121.1,125769036.0,123339147.0,0.5048771761945693,0.49512282380543077
39.0,-76.7,40.2,-88.5,124377102.0,124731081.0,0.49928950748277906,0.5007104925172209
34.2,-117.4,40.5,-80.3,124211014.0,124897169.0,0.49862277707673697,0.501377222923263
41.1,-81.9,38.9,-85.0,124200054.0,124908129.0,0.498578780127829,0.5014212198721709
39.6,-94.1,40.0,-75.0,124067332.0,125040851.0,0.49804599152810647,0.5019540084718935
33.9,-84.2,42.3,-87.9,123609510.0,125498673.0,0.4962081474457224,0.5037918525542776
37.8,-122.5,39.2,-84.4,125090274.0,124017909.0,0.5021524082169553,0.4978475917830447
26.1,-80.3,39.6,-87.3,125200923.0,123907260.0,0.5025965887278782,0.4974034112721219
40.9,-83.7,29.9,-91.2,123939811.0,125168372.0,0.49753408140751443,0.5024659185924856
27.9,-82.3,41.8,-87.6,125048018.0,124060165.0,0.5019827791044503,0.4980172208955496
32.8,-80.0,42.5,-94.1,123927610.0,125180573.0,0.49748510268729307,0.5025148973127069
40.7,-80.3,40.9,-73.3,125678501.0,123429682.0,0.5045137397192608,0.49548626028073917
37.0,-86.5,30.8,-89.9,124171113.0,124937070.0,0.49846260168819906,0.5015373983118009
34.5,-87.2,42.4,-83.3,124718812.0,124389371.0,0.500661240823229,0.499338759176771
41.3,-81.6,39.2,-84.5,124962226.0,124145957.0,0.5016383825496411,0.4983616174503589
34.2,-118.7,40.0,-75.3,123826875.0,125281308.0,0.4970807201463952,0.5029192798536049
30.0,-90.1,41.9,-83.4,124811870.0,124296313.0,0.5010348054282906,0.49896519457170946
42.7,-95.8,38.9,-88.6,124989903.0,124118280.0,0.5017494868885941,0.4982505131114059
33.9,-84.2,46.9,-95.0,123371411.0,125736772.0,0.4952523418309386,0.5047476581690614
36.1,-79.4,40.5,-122.3,124805267.0,124302916.0,0.5010082988723016,0.4989917011276984
38.7,-85.2,38.1,-85.7,124034978.0,125073205.0,0.4979161122137846,0.5020838877862154
26.8,-80.1,45.1,-93.1,125444017.0,123664166.0,0.5035724458718404,0.49642755412815964
28.1,-82.5,34.0,-84.4,124930003.0,124178180.0,0.5015090291112597,0.49849097088874034
34.4,-118.6,40.1,-88.2,125202264.0,123905919.0,0.5026019719312071,0.4973980280687929
39.4,-104.8,40.0,-82.9,124867451.0,124240732.0,0.501257925356872,0.49874207464312803
30.2,-81.6,38.7,-87.8,124990981.0,124117202.0,0.5017538143257221,0.4982461856742779
42.4,-88.1,31.7,-83.2,124433987.0,124674196.0,0.49951786208484367,0.5004821379151563
40.4,-104.8,36.0,-77.8,125275825.0,123832358.0,0.5028972693361904,0.4971027306638096
39.2,-84.7,36.8,-88.0,124224770.0,124883413.0,0.4986779980648006,0.5013220019351994
